"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3409","TC #1. Verify adding the Redmine to the cart, book page","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","2897","TC #1. Verify adding the Redmine to the cart","","2025-11-19","passed","2025-11-19","","tests.spec.js","",""
"","3937","TC #5. Verify navigation to the Project Management, book page","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","6204","TC #4. Verify deleting the product from the cart, book page","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","4871","TC #2. Verify the Buy Now functionality, book page","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","3228","TC #5. Verify navigation to the Project Management","","2025-11-19","passed","2025-11-19","","tests.spec.js","",""
"","3781","TC #2. Verify the Buy Now functionality","","2025-11-19","passed","2025-11-19","","tests.spec.js","",""
"","1821","TC #6. Verify searching the information","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","1353","Verify navigation to the Your order page as unauthorized user","","2025-11-17","failed","2025-11-17","","tests.spec.js","",""
"","1265","Verify adding the Redmine to the cart","","2025-11-17","failed","2025-11-17","","tests.spec.js","",""
"","5223","TC #4. Verify deleting the product from the cart","","2025-11-19","passed","2025-11-19","","tests.spec.js","",""
"","3612","TC #3. Verify navigation to the Your order page as unauthorized user, book page","","2025-12-10","passed","2025-12-10","","tests.spec.js","",""
"","1335","Verify navigation to the Project Management","","2025-11-17","failed","2025-11-17","","tests.spec.js","",""
"","1279","Verify deleting the product from the cart","","2025-11-17","failed","2025-11-17","","tests.spec.js","",""
"","2878","TC #3. Verify navigation to the Your order page as unauthorized user","","2025-11-19","passed","2025-11-19","","tests.spec.js","",""
"","1868","Verify the Buy Now functionality","","2025-11-17","failed","2025-11-17","","tests.spec.js","",""
